Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,1825.246,1296.17,160.0313,Knife,100,0,-41.5911,-234.3755,0,False,False,False,228.1641,3.164063
PnX | CSGOmall.com,CounterTerrorist,1821.142,1281.71,160.0313,Knife,100,0,-82.71986,-229.1195,0,False,False,False,227.1094,1.054688
PnX | CSGOmall.com,CounterTerrorist,1814.859,1267.561,160.0313,Knife,100,0,-112.5006,-223.2569,0,False,False,False,226.7578,1.054688
PnX | CSGOmall.com,CounterTerrorist,1806.034,1252.367,160.0313,Knife,100,0,-135.2987,-210.2243,0,False,False,False,222.8906,1.757813
PnX | CSGOmall.com,CounterTerrorist,1796.922,1239.681,160.0313,Knife,100,0,-153.7628,-197.1218,0,False,False,False,217.9688,1.757813
PnX | CSGOmall.com,CounterTerrorist,1788.069,1229.266,158.4479,Knife,100,0,-167.455,-185.6308,0,False,False,False,216.211,2.109375
PnX | CSGOmall.com,CounterTerrorist,1775.184,1218.106,157.0362,Knife,100,0,-198.4168,-130.7374,0,False,False,False,218.3203,2.109375
PnX | CSGOmall.com,CounterTerrorist,1763.634,1212.17,156.3587,Knife,100,0,-220.0105,-93.72301,0,False,False,False,220.4297,2.109375
PnX | CSGOmall.com,CounterTerrorist,1747.319,1206.977,155.8631,Knife,100,0,-240.5792,-59.46873,0,False,False,False,219.7266,2.109375
PnX | CSGOmall.com,CounterTerrorist,1733.903,1204.416,155.7026,Knife,100,0,-247.1199,-37.83863,0,False,False,False,219.0234,2.109375
PnX | CSGOmall.com,CounterTerrorist,1716.903,1200.028,155.3341,Knife,100,0,-236.9332,-79.76619,0,False,False,False,220.0781,2.109375
PnX | CSGOmall.com,CounterTerrorist,1702.471,1194.063,154.5484,Knife,100,0,-226.207,-106.4444,0,False,False,False,221.4844,2.109375
PnX | CSGOmall.com,CounterTerrorist,1690.385,1187.679,153.6258,Knife,100,0,-217.2053,-123.7815,0,False,False,False,222.5391,2.109375
PnX | CSGOmall.com,CounterTerrorist,1677.152,1179.376,152.5257,Knife,100,0,-207.515,-139.4186,0,False,False,False,225,2.109375
PnX | CSGOmall.com,CounterTerrorist,1664.512,1170.195,151.755,Knife,100,0,-198.2112,-152.3559,0,False,False,False,227.1094,1.757813
PnX | CSGOmall.com,CounterTerrorist,1650.944,1159.024,150.8939,Knife,100,0,-189.1158,-163.509,0,False,False,False,227.8125,2.109375
PnX | CSGOmall.com,CounterTerrorist,1640.78,1149.88,150.1954,Knife,100,0,-183.5852,-169.6952,0,False,False,False,228.1641,2.109375
PnX | CSGOmall.com,CounterTerrorist,1628.104,1137.703,149.2519,Knife,100,0,-177.7606,-175.7873,0,False,False,False,229.5703,2.460938
PnX | CSGOmall.com,CounterTerrorist,1617.177,1126.534,148.3756,Knife,100,0,-172.4017,-181.046,0,False,False,False,231.6797,2.8125
PnX | CSGOmall.com,CounterTerrorist,1606.621,1115.015,147.4606,Knife,100,0,-166.0289,-186.9075,0,False,False,False,234.1406,3.164063
PnX | CSGOmall.com,CounterTerrorist,1597.732,1104.629,148.3235,Knife,100,0,-159.8792,-192.1943,0,False,False,False,236.25,3.867188
PnX | CSGOmall.com,CounterTerrorist,1585.649,1091.998,149.6008,Knife,100,0,-187.6266,-163.7889,0,False,False,False,239.0625,4.21875
PnX | CSGOmall.com,CounterTerrorist,1574.733,1083.787,150.5172,Knife,100,0,-206.9801,-140.2113,0,False,False,False,239.0625,3.867188
PnX | CSGOmall.com,CounterTerrorist,1561.294,1075.827,151.4859,Knife,100,0,-220.273,-118.2363,0,False,False,False,239.0625,3.867188
PnX | CSGOmall.com,CounterTerrorist,1545.436,1068.255,152.5875,Knife,100,0,-229.039,-100.2055,0,False,False,False,239.0625,3.867188
PnX | CSGOmall.com,CounterTerrorist,1532.775,1063.098,153.353,Knife,100,0,-233.0151,-90.57568,0,False,False,False,240.4688,4.21875
